1,1,"Я щедрый человек, часто даю или одалживаю деньги своим знакомым"
2,1,"Я часто прихожу на помощь друзьям, как финансово, так и другими способами"
3,1,"Несмотря на мои усилия, всегда происходит что-то, что усложняет мою финансовую жизнь"
4,1,"Из-за потребностей или причин других людей, мне приходится ждать, чтобы мне заплатили"
5,2,Я люблю всегда просчитывать за и против любого финансового риска
6,2,Я способен рискнуть деньгами ради потенциально большой финансовой выгоды
7,2,Втайне я считаю себя умнее или лучше других людей в умении обращаться с деньгами
8,2,Я люблю управлять деньгами
9,3,Я люблю привлекать деньги магическими или нестандартными способами
10,3,"Зарабатывать деньги для меня менее важно, чем создавать какое-то движение, делать вклад или участвовать в социальных переменах"
11,3,"У меня двойственные отношения с деньгами: то люблю, то ненавижу"
12,3,"Я убежден, что слишком сильно фокусироваться на деньгах – это признак жадности и не-духовности"
13,4,"Я люблю тратить деньги на вещи, которые улучшают мой имидж или делают меня более заметным"
14,4,"Мне важно всегда получать лучшее или быть первым – получать ВИП-сервис, заказывать 1 класс, покупать новейшие гаджеты"
15,4,"Я произвожу впечатление богатого и успешного, которое не всегда соответствует моему банковскому счету"
16,4,"Мне проще тратить деньги на украшения, рестораны, поездки и пр., нежели их экономить"
17,5,Мне легко не думать о деньгах
18,5,Меня часто финансово поддерживают другие люди
19,5,"Я часто избегаю решать денежные ситуации, надеясь, что они решатся сами по себе"
20,5,"Мне больше нравится, когда кто-то другой заботится о денежных деталях для меня"
21,6,Я люблю сберегать деньги
22,6,"Мне тяжело, даже болезненно, тратить деньги"
23,6,Я стараюсь гарантированно жить по средствам или еще скромнее
24,6,"Мне трудно доверять другим, когда речь идет об инвестиции моих денег"
25,7,"Я люблю часто тратить деньги на вещи, потому что чувствую, что я этого достоин"
26,7,"Не вижу смысла экономить деньги, потому что жизнью надо наслаждаться сейчас"
27,7,Сами по себе деньги для меня не так значимы
28,7,Мне нравится приобретать роскошь и иметь множество разных вещей
29,8,"Я чувствую, что мне всегда недостаточно денег, поэтому постоянно придумываю новые способы заработка"
30,8,Мне не нравится разнообразить или усложнять мои инвестиции
31,8,"Я сдерживаюсь тратить деньги сейчас, чтобы потом инвестировать в свое будущее"
32,8,"Я очень амбициозен, и деньги – это мерило моего успеха"
33,9,"Служить другим людям меня мотивирует больше, чем делать деньги"
34,9,"Я могу обижаться, когда получаю недостаточно за все, что я делаю"
35,9,"Если кому-то нужно мое время, я всегда его уделяю, даже если мне не заплатят"
36,9,"В самом худшем случае, я могу отдать все, что у меня есть, и влезть в долги или финансовые риски"
37,10,"В самом худшем случае, я могу так сильно рискнуть деньгами, что останусь нищим"
38,10,Мне комфортно проводить сложные денежные транзакции
39,10,"Делание денег – это игра, в которую я играю, чтобы выиграть"
40,10,Другим мои финансовые решения могут казаться рискованными
41,11,"Я считаю, что у богатых людей есть несправедливые преимущества в жизни"
42,11,"Я не доверяю людям, которые слишком много фокусируются на деньгах"
43,11,"Все инвестиции, которые я делаю, должны быть только с теми людьми и компаниями, чьи идеалы совпадают с моими"
44,11,"В худшем случае, меня финансово поддерживают (бизнес, супруг, родители, кредитная карта), но при этом я раздражаюсь, что это несправедливо"
45,12,"В самом худшем случае, я трачу слишком много и беру в долг, только чтобы получить внимание и признание"
46,12,"Я уверенно управляю деньгами в повседневной жизни, даже если при этом у меня есть долги, или мне сложно сберегать или инвестировать"
47,12,"Я люблю выделяться из толпы, и хочу, чтобы мои покупки этому способствовали"
48,12,"Мне важно, чтобы меня признали за то, что я даю много денег на благотворительность и социальные проекты"
49,13,"Я бы хотел, чтобы мне не приходилось думать о зарабатывании или управлении деньгами"
50,13,"У меня есть вера, что каким-то образом финансовые вопросы решатся сами собой"
51,13,Я не чувствую сильной связи с деньгами
52,13,"В худшем случае, я устал и беспомощен в отношении денег, и хочу, чтоб нужда в деньгах просто исчезла"
53,14,"В худшем случае, я ограничиваю свои возможности из-за страха тратить или инвестировать деньги"
54,14,"Я люблю скидки, распродажи и подержанные вещи, ведь я знаю, что это самая выгодная покупка"
55,14,"Сберегая много денег, я чувствую себя защищенно и в безопасности"
56,14,Я чувствую сильную эмоциональную связь с деньгами
57,15,"Я убежден, что жить надо хорошо, неважно сколько это стоит"
58,15,"Я обнаружил, что поскольку деньги нельзя забрать с собой, значит, их надо тратить сейчас"
59,15,Мои покупки помогают мне лучше относиться к самому себе
60,15,"В худшем случае, я трачу деньги импульсивно"
61,16,"В худшем случае, мне никогда не достаточно моих денег, и я неустанно гоню себя, чтоб заработать еще больше"
62,16,Обычно я рассудительно отношусь к деньгам и управлению ими
63,16,"Я верю, что стану счастливее, когда у меня будет больше денег (даже хотя сейчас у меня их больше, чем ранее)"
64,16,Я боюсь потерять контроль или власть над деньгами
